Community Area Name,Cases,Reported Cases,Year,Gender,STI Name
HYDE PARK,CASES 2003 MALE 15-44,31,2003,MALE,CHL
WOODLAWN,CASES 2003 MALE 15-44,117,2003,MALE,CHL
SOUTH SHORE,CASES 2003 MALE 15-44,210,2003,MALE,CHL
CHATHAM,CASES 2003 MALE 15-44,120,2003,MALE,CHL
AVALON PARK,CASES 2003 MALE 15-44,30,2003,MALE,CHL
SOUTH CHICAGO,CASES 2003 MALE 15-44,94,2003,MALE,CHL
BURNSIDE,CASES 2003 MALE 15-44,23,2003,MALE,CHL
CALUMET HEIGHTS,CASES 2003 MALE 15-44,44,2003,MALE,CHL
ROSELAND,CASES 2003 MALE 15-44,195,2003,MALE,CHL
PULLMAN,CASES 2003 MALE 15-44,19,2003,MALE,CHL
SOUTH DEERING,CASES 2003 MALE 15-44,51,2003,MALE,CHL
EAST SIDE,CASES 2003 MALE 15-44,14,2003,MALE,CHL
WEST PULLMAN,CASES 2003 MALE 15-44,130,2003,MALE,CHL
RIVERDALE,CASES 2003 MALE 15-44,39,2003,MALE,CHL
HEGEWISCH,CASES 2003 MALE 15-44,0,2003,MALE,CHL
GARFIELD RIDGE,CASES 2003 MALE 15-44,26,2003,MALE,CHL
ARCHER HEIGHTS,CASES 2003 MALE 15-44,0,2003,MALE,CHL
BRIGHTON PARK,CASES 2003 MALE 15-44,36,2003,MALE,CHL
MCKINLEY PARK,CASES 2003 MALE 15-44,9,2003,MALE,CHL
BRIDGEPORT,CASES 2003 MALE 15-44,18,2003,MALE,CHL
NEW CITY,CASES 2003 MALE 15-44,122,2003,MALE,CHL
WEST ELSDON,CASES 2003 MALE 15-44,7,2003,MALE,CHL
GAGE PARK,CASES 2003 MALE 15-44,37,2003,MALE,CHL
CLEARING,CASES 2003 MALE 15-44,8,2003,MALE,CHL
WEST LAWN,CASES 2003 MALE 15-44,11,2003,MALE,CHL
CHICAGO LAWN,CASES 2003 MALE 15-44,163,2003,MALE,CHL
WEST ENGLEWOOD,CASES 2003 MALE 15-44,229,2003,MALE,CHL
ENGLEWOOD,CASES 2003 MALE 15-44,234,2003,MALE,CHL
GREATER GRAND CROSSING,CASES 2003 MALE 15-44,154,2003,MALE,CHL
