,Community Area Name,CASES 2001 Male 15-44,CASES 2002 Male 15-44,CASES 2003 Male 15-44,CASES 2004 Male 15-44,CASES 2005 Male 15-44,CASES 2006 Male 15-44,CASES 2007 Male 15-44,CASES 2008 Male 15-44,CASES 2009 Male 15-44,CASES 2010 Male 15-44,CASES 2011 Male 15-44,CASES 2012 MALE 15-44,CASES 2013 Male 15-44,CASES 2014 Male 15-44,Cases 2000 Female 15-44,Cases 2001 Female 15-44,Cases 2002 Female 15-44,Cases 2003 Female 15-44,Cases 2004 Female 15-44,Cases 2005 Female 15-44,Cases 2006 Female 15-44,Cases 2007 Female 15-44,Cases 2008 Female 15-44,Cases 2009 Female 15-44,Cases 2010 Female 15-44,Cases 2011 Female 15-44,Cases 2012 Female 15-44,Cases 2013 Female 15-44,Cases 2014 Female 15-44
61,West Elsdon,9.0,9.0,7.0,12.0,6.0,10.0,14.0,7.0,14.0,12.0,20.0,19.0,20.0,23.0,12.0,19.0,21.0,31.0,29.0,31.0,42.0,47.0,42,53.0,42.0,65.0,59,70,63
62,Gage Park,37.0,55.0,37.0,20.0,48.0,42.0,47.0,38.0,53.0,43.0,53.0,57.0,63.0,58.0,89.0,124.0,118.0,153.0,134.0,150.0,153.0,158.0,167,180.0,163.0,206.0,211,203,217
63,Clearing,,,8.0,,,8.0,10.0,13.0,20.0,6.0,21.0,13.0,11.0,11.0,11.0,20.0,24.0,17.0,20.0,27.0,33.0,30.0,43,35.0,48.0,54.0,49,48,49
64,West Lawn,11.0,22.0,11.0,16.0,27.0,15.0,15.0,19.0,18.0,37.0,31.0,33.0,47.0,44.0,28.0,53.0,48.0,52.0,55.0,64.0,86.0,87.0,103,95.0,91.0,106.0,113,106,134
65,Chicago Lawn,140.0,192.0,163.0,134.0,158.0,211.0,162.0,129.0,133.0,139.0,217.0,243.0,190.0,215.0,377.0,434.0,442.0,467.0,465.0,465.0,522.0,503.0,493,501.0,573.0,573.0,645,519,593
66,West Englewood,210.0,329.0,229.0,204.0,254.0,266.0,210.0,132.0,127.0,172.0,261.0,234.0,233.0,201.0,559.0,643.0,547.0,673.0,593.0,583.0,587.0,627.0,611,621.0,629.0,680.0,703,596,592
67,Englewood,205.0,274.0,234.0,166.0,227.0,218.0,179.0,128.0,127.0,152.0,228.0,247.0,211.0,181.0,527.0,618.0,640.0,635.0,639.0,612.0,650.0,598.0,602,594.0,595.0,603.0,614,542,502
68,Greater Grand Crossing,124.0,195.0,154.0,131.0,181.0,160.0,162.0,131.0,104.0,131.0,174.0,195.0,171.0,164.0,393.0,444.0,436.0,394.0,482.0,479.0,511.0,548.0,530,539.0,490.0,561.0,546,471,516
69,Ashburn,39.0,50.0,59.0,63.0,71.0,88.0,85.0,62.0,57.0,78.0,87.0,94.0,85.0,91.0,106.0,121.0,120.0,157.0,176.0,183.0,219.0,190.0,187,200.0,223.0,199.0,220,200,179
70,Auburn Gresham,193.0,304.0,224.0,153.0,227.0,252.0,211.0,147.0,134.0,201.0,259.0,242.0,256.0,197.0,459.0,496.0,526.0,550.0,564.0,572.0,594.0,628.0,620,607.0,637.0,711.0,666,581,608
71,Beverly,17.0,19.0,17.0,15.0,21.0,21.0,16.0,14.0,11.0,21.0,22.0,46.0,24.0,31.0,32.0,36.0,44.0,50.0,36.0,55.0,56.0,48.0,41,42.0,56.0,55.0,53,38,42
72,Washington Heights,80.0,108.0,113.0,76.0,109.0,104.0,109.0,65.0,71.0,93.0,105.0,124.0,85.0,121.0,203.0,214.0,219.0,226.0,213.0,237.0,248.0,277.0,271,277.0,264.0,269.0,304,284,271
73,Mount Greenwood,,8.0,,,0.0,5.0,11.0,5.0,,,5.0,6.0,8.0,13.0,5.0,10.0,10.0,16.0,11.0,8.0,20.0,7.0,12,26.0,15.0,29.0,24,18,32
74,Morgan Park,49.0,69.0,50.0,51.0,51.0,58.0,52.0,42.0,41.0,42.0,53.0,67.0,66.0,60.0,123.0,91.0,109.0,148.0,158.0,143.0,165.0,158.0,157,153.0,151.0,164.0,160,156,138
75,O'Hare,,5.0,7.0,9.0,,7.0,,7.0,,5.0,6.0,6.0,7.0,11.0,10.0,11.0,,6.0,5.0,6.0,11.0,13.0,17,6.0,9.0,12.0,19,12,18
76,Edgewater,48.0,81.0,84.0,52.0,62.0,85.0,81.0,54.0,54.0,67.0,95.0,102.0,120.0,158.0,106.0,102.0,107.0,97.0,75.0,83.0,77.0,59.0,89,85.0,99.0,130.0,101,99,90
77,Unknown,138.0,120.0,9.0,891.0,549.0,462.0,2.0,2818.0,3151.0,1640.0,1390.0,2.0,16.0,8.0,15.0,197.0,129.0,18.0,1483.0,1224.0,888.0,5.0,2352,3240.0,2293.0,1381.0,5,35,27
78,Chicago,4868.0,7037.0,5350.0,5102.0,6133.0,6247.0,5025.0,7012.0,7058.0,6684.0,8089.0,7351.0,6625.0,7166.0,13112.0,14176.0,13750.0,14684.0,15915.0,16152.0,16683.0,15400.0,17721,18921.0,17590.0,18691.0,17851,16040,16446
